category,maker,kana,status,maker_source_urls,product_id,product_name,season,flex,profile,level,product_source_url
board,BURTON,バートン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/burton/,burton-cartographer,Cartographer,2025-2026,ミディアム,ディレクショナル,中級,https://sbn.japaho.com/catalog/burton/
board,BURTON,バートン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/burton/,burton-instigator,Instigator,2025-2026,ソフト,フラット,初級,https://sbn.japaho.com/catalog/burton/
board,CAPiTA,キャピタ,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,DEVGRU,デブグル,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,DRAKE SNOWBOARDS,ドレイク,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,elan,エラン,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,FANATIC SNOWBOARDS,ファナティック,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,FOSSIL SNOWBOARD,フォッシル,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,Four Square Design Snowboard,フォースクエアデザイン,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,F2 SNOWBOARDS,エフツー,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,GENTEM STICK,ゲンテンスティック,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,GNU,グヌー,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/gnu/,gnu-gremlin,GREMLIN,2025-2026,ミディアムハード,ハイブリッドキャンバー,中級〜上級,https://sbn.japaho.com/catalog/gnu/
board,GNU,グヌー,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/gnu/,gnu-riders-choice,Riders Choice,2025-2026,ミディアム,ハイブリッドキャンバー,中級〜上級,https://sbn.japaho.com/catalog/gnu/
board,GNU,グヌー,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/gnu/,gnu-money,Money,2025-2026,ミディアムソフト,ハイブリッド,初級〜中級,https://sbn.japaho.com/catalog/gnu/
board,GNU,グヌー,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/gnu/,gnu-gwo,GWO,2025-2026,ミディアム,ハイブリッドロッカー,初級〜中級,https://sbn.japaho.com/catalog/gnu/
board,GNU,グヌー,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/gnu/,gnu-hyper,Hyper,2025-2026,ハード,キャンバー,上級,https://sbn.japaho.com/catalog/gnu/
board,GRAY SNOWBOARDS,グレイ,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,HEAD Snowboards,ヘッド,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,JONES SNOWBOARDS,ジョーンズ,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,KESSLER SNOWBOARDS,ケスラー,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,KM4K SNOWBOARDS,カモシカ,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,K2 SNOWBOARDING,ケーツー,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/k2/,k2-instrument,INSTRUMENT,2025-2026,ミディアム,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/k2/
board,K2 SNOWBOARDING,ケーツー,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/k2/,k2-antidote,ANTIDOTE,2025-2026,ハード,キャンバー,上級,https://sbn.japaho.com/catalog/k2/
board,K2 SNOWBOARDING,ケーツー,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/k2/,k2-manifest,MANIFEST,2025-2026,ミディアム,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/k2/
board,K2 SNOWBOARDING,ケーツー,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/k2/,k2-afterblack,AFTERBLACK,2025-2026,ミディアムハード,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/k2/
board,K2 SNOWBOARDING,ケーツー,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/k2/,k2-excavator,EXCAVATOR,2025-2026,ハード,ディレクショナルキャンバー,上級,https://sbn.japaho.com/catalog/k2/
board,K2 SNOWBOARDING,ケーツー,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/k2/,k2-almanac,ALMANAC,2025-2026,ミディアム,ディレクショナル,中級,https://sbn.japaho.com/catalog/k2/
board,K2 SNOWBOARDING,ケーツー,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/k2/,k2-gateway-pop,GATEWAY POP,2025-2026,ミディアムソフト,ハイブリッド,初級〜中級,https://sbn.japaho.com/catalog/k2/
board,LIB TECH,リブテック,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,MOSS SNOWBOARDS,モス,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/moss/,moss-legit,LEGIT,2025-2026,ハード,キャンバー,上級,https://sbn.japaho.com/catalog/moss/
board,MOSS SNOWBOARDS,モス,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/moss/,moss-king,KING,2025-2026,ミディアムハード,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/moss/
board,MOSS SNOWBOARDS,モス,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/moss/,moss-revolver,REVOLVER,2025-2026,ミディアム,キャンバー,中級,https://sbn.japaho.com/catalog/moss/
board,MOSS SNOWBOARDS,モス,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/moss/,moss-twfd,TWFD,2025-2026,ミディアム,ハイブリッド,中級,https://sbn.japaho.com/catalog/moss/
board,MOSS SNOWBOARDS,モス,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/moss/,moss-circus,CIRCUS,2025-2026,ソフト,ハイブリッドロッカー,初級〜中級,https://sbn.japaho.com/catalog/moss/
board,MOSS SNOWSTICK,モス スノースティック,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,NIDECKER,ナイデッカー,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,NITRO SNOWBOARDS,ナイトロ,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/nitro/,nitro-alternator,ALTERNATOR,2025-2026,ミディアムハード,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/nitro/
board,NITRO SNOWBOARDS,ナイトロ,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/nitro/,nitro-team,TEAM,2025-2026,ミディアム,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/nitro/
board,NITRO SNOWBOARDS,ナイトロ,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/nitro/,nitro-team-pro,TEAM PRO,2025-2026,ハード,キャンバー,上級,https://sbn.japaho.com/catalog/nitro/
board,NITRO SNOWBOARDS,ナイトロ,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/nitro/,nitro-t1,T1,2025-2026,ミディアム,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/nitro/
board,NITRO SNOWBOARDS,ナイトロ,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/nitro/,nitro-optisym,OPTISYM,2025-2026,ミディアムソフト,ハイブリッド,初級〜中級,https://sbn.japaho.com/catalog/nitro/
board,NITRO SNOWBOARDS,ナイトロ,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/nitro/,nitro-smp,SMP,2025-2026,ミディアム,ディレクショナル,中級,https://sbn.japaho.com/catalog/nitro/
board,NITRO SNOWBOARDS,ナイトロ,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/nitro/,nitro-prime,PRIME,2025-2026,ソフト,フラット,初級,https://sbn.japaho.com/catalog/nitro/
board,NOVEMBER,ノベンバー,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,OGASAKA,オガサカ,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/ogasaka/,ogasaka-fc,FC,2025-2026,ハード,キャンバー,上級,https://sbn.japaho.com/catalog/ogasaka/
board,OGASAKA,オガサカ,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/ogasaka/,ogasaka-fcs,FC-S,2025-2026,ハード,キャンバー,上級,https://sbn.japaho.com/catalog/ogasaka/
board,OGASAKA,オガサカ,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/ogasaka/,ogasaka-ct,CT,2025-2026,ミディアム,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/ogasaka/
board,OGASAKA,オガサカ,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/ogasaka/,ogasaka-cts,CT-S,2025-2026,ミディアムハード,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/ogasaka/
board,OGASAKA,オガサカ,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/ogasaka/,ogasaka-evo,EVO,2025-2026,ミディアム,キャンバー,中級,https://sbn.japaho.com/catalog/ogasaka/
board,OGASAKA,オガサカ,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/ogasaka/,ogasaka-tf,TF,2025-2026,ミディアム,キャンバー,中級,https://sbn.japaho.com/catalog/ogasaka/
board,OGASAKA,オガサカ,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/ogasaka/,ogasaka-sprout,SPROUT,2025-2026,ミディアム,ディレクショナル,中級,https://sbn.japaho.com/catalog/ogasaka/
board,OJK specialsnowboards,オージェーケー,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,Oxess Snowboards,オクセス,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,PLUTONIUM,プルトニウム,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,RABANSER SNOWBOARDS,ラバンサー,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,REGALIA SNOWBOARD JAPAN,レガリア,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,RIDE SNOWBOARDS,ライド,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/ride/,ride-warpig,WARPIG,2025-2026,ミディアム,ロッカー,中級,https://sbn.japaho.com/catalog/ride/
board,RIDE SNOWBOARDS,ライド,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/ride/,ride-superpig,SUPERPIG,2025-2026,ハード,キャンバー,上級,https://sbn.japaho.com/catalog/ride/
board,RIDE SNOWBOARDS,ライド,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/ride/,ride-twinpig,TWINPIG,2025-2026,ミディアムソフト,ロッカー,初級〜中級,https://sbn.japaho.com/catalog/ride/
board,RIDE SNOWBOARDS,ライド,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/ride/,ride-algorhythm,ALGORHYTHM,2025-2026,ミディアムハード,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/ride/
board,RIDE SNOWBOARDS,ライド,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/ride/,ride-benchwarmer,BENCHWARMER,2025-2026,ハード,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/ride/
board,RIDE SNOWBOARDS,ライド,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/ride/,ride-shadowban,SHADOWBAN,2025-2026,ミディアム,ハイブリッド,中級,https://sbn.japaho.com/catalog/ride/
board,RIDE SNOWBOARDS,ライド,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/ride/,ride-mtnpig,MTNPIG,2025-2026,ハード,ディレクショナル,上級,https://sbn.japaho.com/catalog/ride/
board,RIDE SNOWBOARDS,ライド,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/ride/,ride-psychocandy,PSYCHOCANDY,2025-2026,ミディアム,ロッカー,中級,https://sbn.japaho.com/catalog/ride/
board,ROME SNOWBOARDS,ローム,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,ROSSIGNOL,ロシニョール,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,ROXY,ロキシー,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,SABRINA SNOWBOARDS,サブリナ,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,Salomon,サロモン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/salomon/,salomon-huck-knife,Huck Knife,2025-2026,ミディアムハード,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/salomon/
board,Salomon,サロモン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/salomon/,salomon-huck-knife-pro,Huck Knife Pro,2025-2026,ハード,キャンバー,上級,https://sbn.japaho.com/catalog/salomon/
board,Salomon,サロモン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/salomon/,salomon-assassin,Assassin,2025-2026,ミディアム,ハイブリッドキャンバー,中級〜上級,https://sbn.japaho.com/catalog/salomon/
board,Salomon,サロモン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/salomon/,salomon-assassin-pro,Assassin Pro,2025-2026,ハード,ハイブリッドキャンバー,上級,https://sbn.japaho.com/catalog/salomon/
board,Salomon,サロモン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/salomon/,salomon-dancehaul,Dancehaul,2025-2026,ミディアム,ディレクショナル,中級,https://sbn.japaho.com/catalog/salomon/
board,Salomon,サロモン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/salomon/,salomon-sight,Sight,2025-2026,ミディアムソフト,ハイブリッド,初級〜中級,https://sbn.japaho.com/catalog/salomon/
board,Salomon,サロモン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/salomon/,salomon-pulse,Pulse,2025-2026,ソフト,ロッカー,初級,https://sbn.japaho.com/catalog/salomon/
board,Salomon,サロモン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/salomon/,salomon-sleepwalker,Sleepwalker,2025-2026,ミディアムソフト,ハイブリッド,中級,https://sbn.japaho.com/catalog/salomon/
board,SCOOTER,スクーター,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,SESSIONS,セッションズ,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,SG SNOWBOARDS,エスジー,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,SLASH,スラッシュ,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,Unit mfg.,ユニット,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,WIRED SNOWBOARDS,ワイアード,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,Yes.Snowboards,イエス,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,YONEX,ヨネックス,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/yonex/,yonex-smooth,SMOOTH,2025-2026,ミディアムソフト,ハイブリッド,初級〜中級,https://sbn.japaho.com/catalog/yonex/
board,YONEX,ヨネックス,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/yonex/,yonex-growent,GROWENT,2025-2026,ミディアム,ハイブリッドキャンバー,中級,https://sbn.japaho.com/catalog/yonex/
board,YONEX,ヨネックス,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/yonex/,yonex-nextage,NEXTAGE,2025-2026,ミディアム,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/yonex/
board,YONEX,ヨネックス,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/yonex/,yonex-achse,ACHSE,2025-2026,ミディアムハード,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/yonex/
board,YONEX,ヨネックス,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/yonex/,yonex-rev,REV,2025-2026,ミディアム,キャンバー,中級,https://sbn.japaho.com/catalog/yonex/
board,YONEX,ヨネックス,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/yonex/,yonex-style,STYLE,2025-2026,ミディアムソフト,ハイブリッド,初級〜中級,https://sbn.japaho.com/catalog/yonex/
bind,BURTON,バートン,,"",cartel,Cartel,2025-2026,ミディアム,ストラップ,中級〜上級,
bind,BURTON,バートン,,"",genesis,Genesis,2024-2025,ミディアムソフト,ストラップ,中級,
bind,UNION,ユニオン,,"",force,Force,2025-2026,ミディアム,ストラップ,中級〜上級,
bind,UNION,ユニオン,,"",strata,Strata,2024-2025,ミディアムソフト,ストラップ,初級〜中級,
bind,FLUX,フラックス,,"",ds,DS,2025-2026,ミディアム,ストラップ,中級,
bind,FLUX,フラックス,,"",xf,XF,2024-2025,ハード,ストラップ,上級,
boot,BURTON,バートン,,"",ion,Ion,2025-2026,ハード,レース,上級,
boot,BURTON,バートン,,"",ruler,Ruler,2024-2025,ミディアム,レース,初級〜中級,
boot,DEELUXE,ディーラックス,,"",team-id,Team ID,2025-2026,ミディアム,ハイブリッドレース,中級〜上級,
boot,DEELUXE,ディーラックス,,"",edge,Edge,2024-2025,ハード,レース,上級,
boot,SALOMON,サロモン,,"",dialogue,Dialogue,2025-2026,ミディアム,クイックレース,中級,
boot,SALOMON,サロモン,,"",launch,Launch,2024-2025,ミディアムソフト,クイックレース,初級〜中級,
